"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"26074",3,1,2,0,"week  3","no_email","2",0,"US"
"26124",3,3,2,0,"week  3","no_prob","2",0,"US"
"2613",3,4,2,0,"week  3","prob_email","2",0,"US"
"26143",3,5,2,0,"week  3","prob_email","2",0,"US"
"26153",3,5,2,300,"week  3","prob_email","2",1,"US"
"26171",3,1,2,0,"week  3","no_email","2",0,"US"
"26182",3,5,2,0,"week  3","prob_email","2",0,"US"
"26201",3,3,2,0,"week  3","no_prob","2",0,"US"
"2625",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26262",3,3,2,120,"week  3","no_prob","2",1,"US"
"26271",3,1,2,0,"week  3","no_email","2",0,"US"
"26301",3,1,2,0,"week  3","no_email","2",0,"US"
"2633",3,4,2,0,"week  3","prob_email","2",0,"US"
"26351",3,7,2,32,"week  3","rel_prob_email","2",1,"US"
"26371",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26381",3,3,2,0,"week  3","no_prob","2",0,"US"
"26452",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26462",3,4,2,0,"week  3","prob_email","2",0,"US"
"26474",3,3,2,0,"week  3","no_prob","2",0,"US"
"26481",3,6,2,96,"week  3","rel_prob_email","2",1,"US"
"26501",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"26522",3,5,2,0,"week  3","prob_email","2",0,"US"
"2657",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26581",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26621",3,6,2,56,"week  3","rel_prob_email","2",1,"US"
"26643",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26682",3,7,2,164,"week  3","rel_prob_email","2",1,"US"
"26731",3,1,2,104,"week  3","no_email","2",1,"US"
"26751",3,3,2,0,"week  3","no_prob","2",0,"US"
"26761",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"26772",3,1,2,0,"week  3","no_email","2",0,"US"
"26802",3,3,2,0,"week  3","no_prob","2",0,"US"
"26811",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"26831",3,3,2,0,"week  3","no_prob","2",0,"US"
"26933",3,1,2,0,"week  3","no_email","2",0,"US"
"2696",3,5,2,0,"week  3","prob_email","2",0,"US"
"2700",3,1,2,0,"week  3","no_email","2",0,"US"
"2704",3,3,2,0,"week  3","no_prob","2",0,"US"
"2709",3,5,2,310,"week  3","prob_email","2",1,"US"
"27101",3,1,2,140,"week  3","no_email","2",1,"US"
"27121",3,7,2,292,"week  3","rel_prob_email","2",1,"US"
"27152",3,2,2,0,"week  3","no_prob","2",0,"US"
"2717",3,4,2,0,"week  3","prob_email","2",0,"US"
"27212",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"27232",3,1,2,0,"week  3","no_email","2",0,"US"
"27251",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"27391",3,3,2,0,"week  3","no_prob","2",0,"US"
"27401",3,6,2,0,"week  3","rel_prob_email","2",0,"US"
"27451",3,1,2,0,"week  3","no_email","2",0,"US"
"27462",3,2,2,25,"week  3","no_prob","2",1,"US"
"27483",3,4,2,0,"week  3","prob_email","2",0,"US"
"2750",3,3,2,0,"week  3","no_prob","2",0,"US"
"27511",3,7,2,36,"week  3","rel_prob_email","2",1,"US"
"27542",3,7,2,0,"week  3","rel_prob_email","2",0,"US"
"2758",3,1,2,0,"week  3","no_email","2",0,"US"
