"","week","treatment_id","experiment","click_sum","week_fac","prob_based","exp_factor","click_ind","country"
"1",1,2,1,78,"week  1","no_prob","1",1,"US"
"6",1,7,1,68,"week  1","rel_prob_email","1",1,"US"
"10",1,4,1,136,"week  1","prob_email","1",1,"US"
"13",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"18",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"20",1,5,1,160,"week  1","prob_email","1",1,"US"
"21",1,3,1,136,"week  1","no_prob","1",1,"US"
"25",1,1,1,52,"week  1","no_email","1",1,"US"
"30",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"43",1,3,1,0,"week  1","no_prob","1",0,"US"
"44",1,4,1,0,"week  1","prob_email","1",0,"US"
"45",1,1,1,0,"week  1","no_email","1",0,"US"
"46",1,1,1,0,"week  1","no_email","1",0,"US"
"50",1,5,1,0,"week  1","prob_email","1",0,"US"
"51",1,1,1,54,"week  1","no_email","1",1,"US"
"52",1,3,1,0,"week  1","no_prob","1",0,"US"
"55",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"57",1,3,1,0,"week  1","no_prob","1",0,"US"
"58",1,4,1,0,"week  1","prob_email","1",0,"US"
"63",1,4,1,0,"week  1","prob_email","1",0,"US"
"65",1,4,1,0,"week  1","prob_email","1",0,"US"
"70",1,3,1,136,"week  1","no_prob","1",1,"US"
"73",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"74",1,3,1,0,"week  1","no_prob","1",0,"US"
"78",1,3,1,36,"week  1","no_prob","1",1,"US"
"79",1,6,1,36,"week  1","rel_prob_email","1",1,"US"
"81",1,3,1,0,"week  1","no_prob","1",0,"US"
"86",1,4,1,44,"week  1","prob_email","1",1,"US"
"88",1,5,1,24,"week  1","prob_email","1",1,"US"
"91",1,4,1,0,"week  1","prob_email","1",0,"US"
"93",1,5,1,0,"week  1","prob_email","1",0,"US"
"95",1,5,1,197,"week  1","prob_email","1",1,"US"
"100",1,4,1,0,"week  1","prob_email","1",0,"US"
"102",1,5,1,0,"week  1","prob_email","1",0,"US"
"103",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"104",1,1,1,0,"week  1","no_email","1",0,"US"
"105",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"110",1,1,1,0,"week  1","no_email","1",0,"US"
"112",1,3,1,216,"week  1","no_prob","1",1,"US"
"113",1,1,1,0,"week  1","no_email","1",0,"US"
"114",1,4,1,32,"week  1","prob_email","1",1,"US"
"115",1,3,1,212,"week  1","no_prob","1",1,"US"
"124",1,1,1,4,"week  1","no_email","1",1,"US"
"126",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"128",1,2,1,192,"week  1","no_prob","1",1,"US"
"131",1,1,1,269,"week  1","no_email","1",1,"US"
"135",1,1,1,24,"week  1","no_email","1",1,"US"
"143",1,6,1,76,"week  1","rel_prob_email","1",1,"US"
"157",1,7,1,438,"week  1","rel_prob_email","1",1,"US"
"158",1,1,1,54,"week  1","no_email","1",1,"US"
"159",1,3,1,354,"week  1","no_prob","1",1,"US"
"161",1,3,1,0,"week  1","no_prob","1",0,"US"
"171",1,4,1,0,"week  1","prob_email","1",0,"US"
"176",1,2,1,0,"week  1","no_prob","1",0,"US"
"177",1,1,1,1168,"week  1","no_email","1",1,"US"
"179",1,4,1,96,"week  1","prob_email","1",1,"US"
"180",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"184",1,5,1,0,"week  1","prob_email","1",0,"US"
"185",1,5,1,0,"week  1","prob_email","1",0,"US"
"187",1,5,1,0,"week  1","prob_email","1",0,"US"
"194",1,3,1,0,"week  1","no_prob","1",0,"US"
"195",1,3,1,424,"week  1","no_prob","1",1,"US"
"201",1,2,1,0,"week  1","no_prob","1",0,"US"
"202",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"204",1,5,1,156,"week  1","prob_email","1",1,"US"
"209",1,3,1,0,"week  1","no_prob","1",0,"US"
"210",1,2,1,56,"week  1","no_prob","1",1,"US"
"211",1,1,1,0,"week  1","no_email","1",0,"US"
"215",1,2,1,48,"week  1","no_prob","1",1,"US"
"217",1,1,1,0,"week  1","no_email","1",0,"US"
"219",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"221",1,1,1,0,"week  1","no_email","1",0,"US"
"222",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"224",1,3,1,0,"week  1","no_prob","1",0,"US"
"226",1,1,1,0,"week  1","no_email","1",0,"US"
"229",1,6,1,157,"week  1","rel_prob_email","1",1,"US"
"239",1,1,1,0,"week  1","no_email","1",0,"US"
"240",1,1,1,279,"week  1","no_email","1",1,"US"
"245",1,7,1,40,"week  1","rel_prob_email","1",1,"US"
"253",1,1,1,0,"week  1","no_email","1",0,"US"
"255",1,1,1,154,"week  1","no_email","1",1,"US"
"258",1,1,1,0,"week  1","no_email","1",0,"US"
"262",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"272",1,3,1,0,"week  1","no_prob","1",0,"US"
"273",1,2,1,0,"week  1","no_prob","1",0,"US"
"277",1,5,1,9,"week  1","prob_email","1",1,"US"
"282",1,6,1,140,"week  1","rel_prob_email","1",1,"US"
"283",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"285",1,3,1,0,"week  1","no_prob","1",0,"US"
"286",1,6,1,38,"week  1","rel_prob_email","1",1,"US"
"289",1,1,1,293,"week  1","no_email","1",1,"US"
"291",1,3,1,0,"week  1","no_prob","1",0,"US"
"294",1,7,1,272,"week  1","rel_prob_email","1",1,"US"
"300",1,2,1,0,"week  1","no_prob","1",0,"US"
"302",1,7,1,236,"week  1","rel_prob_email","1",1,"US"
"306",1,2,1,0,"week  1","no_prob","1",0,"US"
"312",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"314",1,1,1,0,"week  1","no_email","1",0,"US"
"317",1,1,1,140,"week  1","no_email","1",1,"US"
"318",1,3,1,0,"week  1","no_prob","1",0,"US"
"319",1,3,1,0,"week  1","no_prob","1",0,"US"
"322",1,5,1,20,"week  1","prob_email","1",1,"US"
"325",1,4,1,0,"week  1","prob_email","1",0,"US"
"326",1,4,1,0,"week  1","prob_email","1",0,"US"
"328",1,7,1,102,"week  1","rel_prob_email","1",1,"US"
"331",1,4,1,0,"week  1","prob_email","1",0,"US"
"333",1,4,1,0,"week  1","prob_email","1",0,"US"
"335",1,4,1,0,"week  1","prob_email","1",0,"US"
"336",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"338",1,5,1,212,"week  1","prob_email","1",1,"US"
"339",1,4,1,438,"week  1","prob_email","1",1,"US"
"340",1,6,1,24,"week  1","rel_prob_email","1",1,"US"
"346",1,1,1,227,"week  1","no_email","1",1,"US"
"347",1,1,1,0,"week  1","no_email","1",0,"US"
"350",1,4,1,0,"week  1","prob_email","1",0,"US"
"351",1,2,1,0,"week  1","no_prob","1",0,"US"
"357",1,3,1,0,"week  1","no_prob","1",0,"US"
"362",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"363",1,1,1,0,"week  1","no_email","1",0,"US"
"365",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"371",1,2,1,0,"week  1","no_prob","1",0,"US"
"374",1,6,1,350,"week  1","rel_prob_email","1",1,"US"
"379",1,6,1,4,"week  1","rel_prob_email","1",1,"US"
"380",1,6,1,68,"week  1","rel_prob_email","1",1,"US"
"387",1,2,1,0,"week  1","no_prob","1",0,"US"
"391",1,4,1,140,"week  1","prob_email","1",1,"US"
"392",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"399",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"402",1,2,1,0,"week  1","no_prob","1",0,"US"
"404",1,3,1,176,"week  1","no_prob","1",1,"US"
"406",1,1,1,0,"week  1","no_email","1",0,"US"
"408",1,5,1,0,"week  1","prob_email","1",0,"US"
"411",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"418",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"419",1,1,1,0,"week  1","no_email","1",0,"US"
"423",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"424",1,4,1,0,"week  1","prob_email","1",0,"US"
"426",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"428",1,3,1,52,"week  1","no_prob","1",1,"US"
"429",1,3,1,0,"week  1","no_prob","1",0,"US"
"431",1,2,1,0,"week  1","no_prob","1",0,"US"
"432",1,4,1,4,"week  1","prob_email","1",1,"US"
"433",1,5,1,696,"week  1","prob_email","1",1,"US"
"440",1,2,1,0,"week  1","no_prob","1",0,"US"
"442",1,5,1,80,"week  1","prob_email","1",1,"US"
"443",1,2,1,0,"week  1","no_prob","1",0,"US"
"445",1,5,1,0,"week  1","prob_email","1",0,"US"
"448",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"452",1,5,1,72,"week  1","prob_email","1",1,"US"
"453",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"461",1,3,1,0,"week  1","no_prob","1",0,"US"
"462",1,1,1,0,"week  1","no_email","1",0,"US"
"467",1,4,1,244,"week  1","prob_email","1",1,"US"
"481",1,4,1,0,"week  1","prob_email","1",0,"US"
"488",1,2,1,184,"week  1","no_prob","1",1,"US"
"498",1,3,1,284,"week  1","no_prob","1",1,"US"
"501",1,5,1,248,"week  1","prob_email","1",1,"US"
"509",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"517",1,3,1,216,"week  1","no_prob","1",1,"US"
"520",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"526",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"529",1,3,1,342,"week  1","no_prob","1",1,"US"
"531",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"533",1,6,1,32,"week  1","rel_prob_email","1",1,"US"
"535",1,6,1,8,"week  1","rel_prob_email","1",1,"US"
"539",1,1,1,49,"week  1","no_email","1",1,"US"
"543",1,5,1,0,"week  1","prob_email","1",0,"US"
"544",1,3,1,0,"week  1","no_prob","1",0,"US"
"545",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"547",1,1,1,212,"week  1","no_email","1",1,"US"
"548",1,5,1,0,"week  1","prob_email","1",0,"US"
"549",1,1,1,108,"week  1","no_email","1",1,"US"
"551",1,1,1,116,"week  1","no_email","1",1,"US"
"555",1,2,1,0,"week  1","no_prob","1",0,"US"
"557",1,1,1,246,"week  1","no_email","1",1,"US"
"561",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"564",1,4,1,0,"week  1","prob_email","1",0,"US"
"566",1,2,1,0,"week  1","no_prob","1",0,"US"
"567",1,4,1,210,"week  1","prob_email","1",1,"US"
"570",1,7,1,12,"week  1","rel_prob_email","1",1,"US"
"574",1,5,1,8,"week  1","prob_email","1",1,"US"
"575",1,1,1,925,"week  1","no_email","1",1,"US"
"580",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"584",1,3,1,0,"week  1","no_prob","1",0,"US"
"588",1,3,1,0,"week  1","no_prob","1",0,"US"
"590",1,3,1,0,"week  1","no_prob","1",0,"US"
"594",1,3,1,16,"week  1","no_prob","1",1,"US"
"599",1,1,1,12,"week  1","no_email","1",1,"US"
"609",1,2,1,66,"week  1","no_prob","1",1,"US"
"612",1,3,1,0,"week  1","no_prob","1",0,"US"
"613",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"619",1,6,1,4,"week  1","rel_prob_email","1",1,"US"
"624",1,1,1,0,"week  1","no_email","1",0,"US"
"629",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"635",1,6,1,308,"week  1","rel_prob_email","1",1,"US"
"637",1,1,1,4,"week  1","no_email","1",1,"US"
"640",1,3,1,0,"week  1","no_prob","1",0,"US"
"642",1,3,1,40,"week  1","no_prob","1",1,"US"
"643",1,7,1,78,"week  1","rel_prob_email","1",1,"US"
"649",1,5,1,0,"week  1","prob_email","1",0,"US"
"654",1,1,1,0,"week  1","no_email","1",0,"US"
"660",1,3,1,0,"week  1","no_prob","1",0,"US"
"661",1,2,1,44,"week  1","no_prob","1",1,"US"
"665",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"666",1,2,1,0,"week  1","no_prob","1",0,"US"
"668",1,1,1,54,"week  1","no_email","1",1,"US"
"675",1,1,1,256,"week  1","no_email","1",1,"US"
"677",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"681",1,4,1,0,"week  1","prob_email","1",0,"US"
"682",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"686",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"688",1,5,1,0,"week  1","prob_email","1",0,"US"
"691",1,5,1,0,"week  1","prob_email","1",0,"US"
"694",1,1,1,0,"week  1","no_email","1",0,"US"
"695",1,4,1,748,"week  1","prob_email","1",1,"US"
"696",1,3,1,182,"week  1","no_prob","1",1,"US"
"698",1,2,1,84,"week  1","no_prob","1",1,"US"
"699",1,3,1,32,"week  1","no_prob","1",1,"US"
"701",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"703",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"705",1,2,1,16,"week  1","no_prob","1",1,"US"
"709",1,3,1,140,"week  1","no_prob","1",1,"US"
"710",1,2,1,56,"week  1","no_prob","1",1,"US"
"712",1,5,1,0,"week  1","prob_email","1",0,"US"
"715",1,2,1,0,"week  1","no_prob","1",0,"US"
"718",1,3,1,0,"week  1","no_prob","1",0,"US"
"719",1,3,1,0,"week  1","no_prob","1",0,"US"
"720",1,2,1,0,"week  1","no_prob","1",0,"US"
"725",1,3,1,140,"week  1","no_prob","1",1,"US"
"728",1,2,1,386,"week  1","no_prob","1",1,"US"
"731",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"733",1,6,1,22,"week  1","rel_prob_email","1",1,"US"
"734",1,2,1,0,"week  1","no_prob","1",0,"US"
"738",1,1,1,8,"week  1","no_email","1",1,"US"
"741",1,4,1,0,"week  1","prob_email","1",0,"US"
"742",1,2,1,0,"week  1","no_prob","1",0,"US"
"747",1,6,1,20,"week  1","rel_prob_email","1",1,"US"
"748",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"750",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"759",1,5,1,0,"week  1","prob_email","1",0,"US"
"760",1,4,1,0,"week  1","prob_email","1",0,"US"
"764",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"765",1,4,1,0,"week  1","prob_email","1",0,"US"
"769",1,5,1,0,"week  1","prob_email","1",0,"US"
"774",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"777",1,1,1,24,"week  1","no_email","1",1,"US"
"779",1,4,1,98,"week  1","prob_email","1",1,"US"
"781",1,4,1,0,"week  1","prob_email","1",0,"US"
"783",1,5,1,0,"week  1","prob_email","1",0,"US"
"788",1,6,1,118,"week  1","rel_prob_email","1",1,"US"
"791",1,3,1,0,"week  1","no_prob","1",0,"US"
"792",1,6,1,30,"week  1","rel_prob_email","1",1,"US"
"795",1,5,1,0,"week  1","prob_email","1",0,"US"
"796",1,3,1,0,"week  1","no_prob","1",0,"US"
"798",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"799",1,4,1,60,"week  1","prob_email","1",1,"US"
"801",1,3,1,0,"week  1","no_prob","1",0,"US"
"808",1,4,1,0,"week  1","prob_email","1",0,"US"
"812",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"817",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"826",1,2,1,10,"week  1","no_prob","1",1,"US"
"831",1,6,1,32,"week  1","rel_prob_email","1",1,"US"
"832",1,2,1,0,"week  1","no_prob","1",0,"US"
"835",1,5,1,36,"week  1","prob_email","1",1,"US"
"836",1,2,1,228,"week  1","no_prob","1",1,"US"
"838",1,1,1,698,"week  1","no_email","1",1,"US"
"839",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"841",1,5,1,332,"week  1","prob_email","1",1,"US"
"844",1,2,1,0,"week  1","no_prob","1",0,"US"
"847",1,6,1,140,"week  1","rel_prob_email","1",1,"US"
"848",1,3,1,0,"week  1","no_prob","1",0,"US"
"849",1,4,1,0,"week  1","prob_email","1",0,"US"
"853",1,5,1,190,"week  1","prob_email","1",1,"US"
"860",1,3,1,77,"week  1","no_prob","1",1,"US"
"863",1,3,1,0,"week  1","no_prob","1",0,"US"
"868",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"872",1,3,1,0,"week  1","no_prob","1",0,"US"
"877",1,5,1,108,"week  1","prob_email","1",1,"US"
"880",1,5,1,0,"week  1","prob_email","1",0,"US"
"881",1,4,1,240,"week  1","prob_email","1",1,"US"
"882",1,4,1,52,"week  1","prob_email","1",1,"US"
"884",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"887",1,2,1,520,"week  1","no_prob","1",1,"US"
"895",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"896",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"900",1,2,1,929,"week  1","no_prob","1",1,"US"
"903",1,2,1,0,"week  1","no_prob","1",0,"US"
"910",1,5,1,0,"week  1","prob_email","1",0,"US"
"911",1,1,1,0,"week  1","no_email","1",0,"US"
"912",1,1,1,0,"week  1","no_email","1",0,"US"
"913",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"919",1,1,1,37,"week  1","no_email","1",1,"US"
"921",1,2,1,0,"week  1","no_prob","1",0,"US"
"923",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"925",1,1,1,0,"week  1","no_email","1",0,"US"
"926",1,1,1,0,"week  1","no_email","1",0,"US"
"927",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"930",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"935",1,1,1,172,"week  1","no_email","1",1,"US"
"937",1,2,1,0,"week  1","no_prob","1",0,"US"
"944",1,1,1,0,"week  1","no_email","1",0,"US"
"948",1,2,1,8,"week  1","no_prob","1",1,"US"
"949",1,1,1,4,"week  1","no_email","1",1,"US"
"960",1,4,1,152,"week  1","prob_email","1",1,"US"
"962",1,3,1,84,"week  1","no_prob","1",1,"US"
"964",1,4,1,0,"week  1","prob_email","1",0,"US"
"965",1,4,1,0,"week  1","prob_email","1",0,"US"
"968",1,2,1,0,"week  1","no_prob","1",0,"US"
"971",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"974",1,1,1,628,"week  1","no_email","1",1,"US"
"975",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"976",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"979",1,5,1,0,"week  1","prob_email","1",0,"US"
"980",1,4,1,0,"week  1","prob_email","1",0,"US"
"981",1,5,1,8,"week  1","prob_email","1",1,"US"
"982",1,6,1,52,"week  1","rel_prob_email","1",1,"US"
"987",1,4,1,8,"week  1","prob_email","1",1,"US"
"989",1,4,1,0,"week  1","prob_email","1",0,"US"
"991",1,4,1,4,"week  1","prob_email","1",1,"US"
"994",1,1,1,0,"week  1","no_email","1",0,"US"
"997",1,4,1,12,"week  1","prob_email","1",1,"US"
"1003",1,2,1,0,"week  1","no_prob","1",0,"US"
"1009",1,1,1,8,"week  1","no_email","1",1,"US"
"1010",1,4,1,0,"week  1","prob_email","1",0,"US"
"1011",1,1,1,0,"week  1","no_email","1",0,"US"
"1014",1,4,1,0,"week  1","prob_email","1",0,"US"
"1021",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1025",1,3,1,0,"week  1","no_prob","1",0,"US"
"1027",1,1,1,0,"week  1","no_email","1",0,"US"
"1028",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1032",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1033",1,5,1,0,"week  1","prob_email","1",0,"US"
"1035",1,1,1,72,"week  1","no_email","1",1,"US"
"1039",1,2,1,0,"week  1","no_prob","1",0,"US"
"1040",1,4,1,0,"week  1","prob_email","1",0,"US"
"1043",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1044",1,2,1,0,"week  1","no_prob","1",0,"US"
"1056",1,2,1,0,"week  1","no_prob","1",0,"US"
"1058",1,3,1,0,"week  1","no_prob","1",0,"US"
"1065",1,1,1,0,"week  1","no_email","1",0,"US"
"1068",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1069",1,1,1,0,"week  1","no_email","1",0,"US"
"1070",1,4,1,4,"week  1","prob_email","1",1,"US"
"1071",1,3,1,0,"week  1","no_prob","1",0,"US"
"1074",1,3,1,0,"week  1","no_prob","1",0,"US"
"1076",1,3,1,128,"week  1","no_prob","1",1,"US"
"1084",1,6,1,142,"week  1","rel_prob_email","1",1,"US"
"1085",1,2,1,0,"week  1","no_prob","1",0,"US"
"1088",1,2,1,0,"week  1","no_prob","1",0,"US"
"1089",1,6,1,226,"week  1","rel_prob_email","1",1,"US"
"1097",1,4,1,220,"week  1","prob_email","1",1,"US"
"1102",1,4,1,0,"week  1","prob_email","1",0,"US"
"1105",1,4,1,252,"week  1","prob_email","1",1,"US"
"1107",1,3,1,0,"week  1","no_prob","1",0,"US"
"1109",1,2,1,0,"week  1","no_prob","1",0,"US"
"1111",1,4,1,392,"week  1","prob_email","1",1,"US"
"1116",1,3,1,176,"week  1","no_prob","1",1,"US"
"1118",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1120",1,6,1,66,"week  1","rel_prob_email","1",1,"US"
"1122",1,7,1,204,"week  1","rel_prob_email","1",1,"US"
"1124",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1129",1,3,1,0,"week  1","no_prob","1",0,"US"
"1131",1,5,1,0,"week  1","prob_email","1",0,"US"
"1135",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1140",1,6,1,230,"week  1","rel_prob_email","1",1,"US"
"1143",1,6,1,40,"week  1","rel_prob_email","1",1,"US"
"1145",1,5,1,252,"week  1","prob_email","1",1,"US"
"1151",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1152",1,5,1,4,"week  1","prob_email","1",1,"US"
"1156",1,1,1,0,"week  1","no_email","1",0,"US"
"1159",1,5,1,0,"week  1","prob_email","1",0,"US"
"1160",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1163",1,1,1,148,"week  1","no_email","1",1,"US"
"1168",1,7,1,228,"week  1","rel_prob_email","1",1,"US"
"1170",1,3,1,0,"week  1","no_prob","1",0,"US"
"1175",1,7,1,132,"week  1","rel_prob_email","1",1,"US"
"1176",1,5,1,0,"week  1","prob_email","1",0,"US"
"1177",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1181",1,6,1,208,"week  1","rel_prob_email","1",1,"US"
"1183",1,1,1,0,"week  1","no_email","1",0,"US"
"1187",1,3,1,0,"week  1","no_prob","1",0,"US"
"1190",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1195",1,1,1,0,"week  1","no_email","1",0,"US"
"1197",1,7,1,24,"week  1","rel_prob_email","1",1,"US"
"1203",1,1,1,0,"week  1","no_email","1",0,"US"
"1208",1,5,1,0,"week  1","prob_email","1",0,"US"
"1209",1,3,1,466,"week  1","no_prob","1",1,"US"
"1213",1,3,1,0,"week  1","no_prob","1",0,"US"
"1216",1,2,1,260,"week  1","no_prob","1",1,"US"
"1219",1,4,1,0,"week  1","prob_email","1",0,"US"
"1221",1,1,1,86,"week  1","no_email","1",1,"US"
"1223",1,5,1,104,"week  1","prob_email","1",1,"US"
"1226",1,5,1,0,"week  1","prob_email","1",0,"US"
"1228",1,5,1,64,"week  1","prob_email","1",1,"US"
"1229",1,4,1,644,"week  1","prob_email","1",1,"US"
"1230",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1236",1,3,1,765,"week  1","no_prob","1",1,"US"
"1241",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1243",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1244",1,1,1,0,"week  1","no_email","1",0,"US"
"1245",1,1,1,0,"week  1","no_email","1",0,"US"
"1247",1,2,1,0,"week  1","no_prob","1",0,"US"
"1250",1,4,1,0,"week  1","prob_email","1",0,"US"
"1253",1,5,1,0,"week  1","prob_email","1",0,"US"
"1256",1,4,1,0,"week  1","prob_email","1",0,"US"
"1257",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1258",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1263",1,3,1,12,"week  1","no_prob","1",1,"US"
"1269",1,1,1,0,"week  1","no_email","1",0,"US"
"1271",1,3,1,0,"week  1","no_prob","1",0,"US"
"1273",1,3,1,728,"week  1","no_prob","1",1,"US"
"1274",1,6,1,0,"week  1","rel_prob_email","1",0,"US"
"1275",1,2,1,16,"week  1","no_prob","1",1,"US"
"1280",1,5,1,0,"week  1","prob_email","1",0,"US"
"1285",1,5,1,0,"week  1","prob_email","1",0,"US"
"1287",1,3,1,0,"week  1","no_prob","1",0,"US"
"1288",1,5,1,139,"week  1","prob_email","1",1,"US"
"1289",1,1,1,0,"week  1","no_email","1",0,"US"
"1294",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1301",1,3,1,214,"week  1","no_prob","1",1,"US"
"1302",1,3,1,0,"week  1","no_prob","1",0,"US"
"1305",1,3,1,60,"week  1","no_prob","1",1,"US"
"1309",1,4,1,0,"week  1","prob_email","1",0,"US"
"1312",1,1,1,0,"week  1","no_email","1",0,"US"
"1313",1,2,1,0,"week  1","no_prob","1",0,"US"
"1314",1,5,1,0,"week  1","prob_email","1",0,"US"
"1325",1,4,1,90,"week  1","prob_email","1",1,"US"
"1326",1,4,1,0,"week  1","prob_email","1",0,"US"
"1328",1,6,1,44,"week  1","rel_prob_email","1",1,"US"
"1330",1,2,1,1040,"week  1","no_prob","1",1,"US"
"1331",1,4,1,0,"week  1","prob_email","1",0,"US"
"1333",1,5,1,0,"week  1","prob_email","1",0,"US"
"1343",1,5,1,146,"week  1","prob_email","1",1,"US"
"1346",1,4,1,52,"week  1","prob_email","1",1,"US"
"1350",1,1,1,4,"week  1","no_email","1",1,"US"
"1353",1,1,1,0,"week  1","no_email","1",0,"US"
"1355",1,5,1,132,"week  1","prob_email","1",1,"US"
"1358",1,1,1,0,"week  1","no_email","1",0,"US"
"1363",1,3,1,0,"week  1","no_prob","1",0,"US"
"1365",1,2,1,4,"week  1","no_prob","1",1,"US"
"1376",1,3,1,0,"week  1","no_prob","1",0,"US"
"1378",1,3,1,0,"week  1","no_prob","1",0,"US"
"1382",1,7,1,295,"week  1","rel_prob_email","1",1,"US"
"1386",1,1,1,0,"week  1","no_email","1",0,"US"
"1390",1,5,1,64,"week  1","prob_email","1",1,"US"
"1392",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1396",1,4,1,0,"week  1","prob_email","1",0,"US"
"1398",1,5,1,0,"week  1","prob_email","1",0,"US"
"1400",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1401",1,7,1,0,"week  1","rel_prob_email","1",0,"US"
"1405",1,5,1,0,"week  1","prob_email","1",0,"US"
"1407",1,5,1,0,"week  1","prob_email","1",0,"US"
"1408",1,3,1,4,"week  1","no_prob","1",1,"US"
"1411",1,1,1,0,"week  1","no_email","1",0,"US"
"1417",1,2,1,270,"week  1","no_prob","1",1,"US"
"1418",1,6,1,12,"week  1","rel_prob_email","1",1,"US"
"1422",1,1,1,316,"week  1","no_email","1",1,"US"
"1423",1,3,1,13,"week  1","no_prob","1",1,"US"
"1427",1,7,1,20,"week  1","rel_prob_email","1",1,"US"
"1438",1,3,1,0,"week  1","no_prob","1",0,"US"
"1439",1,4,1,4,"week  1","prob_email","1",1,"US"
"1444",1,4,1,0,"week  1","prob_email","1",0,"US"
"1446",1,7,1,102,"week  1","rel_prob_email","1",1,"US"
"1447",1,2,1,0,"week  1","no_prob","1",0,"US"
"1448",1,1,1,0,"week  1","no_email","1",0,"US"
